Embedding,Scene,Query,Seed,_val
GraphEmbedding,FloorPlan202,RemoteControl,42,"[8, 10]"
GraphEmbedding,FloorPlan202,RoomDecor,42,-1
GraphEmbedding,FloorPlan202,Safe,42,-1
GraphEmbedding,FloorPlan202,SaltShaker,42,-1
GraphEmbedding,FloorPlan202,ScrubBrush,42,-1
GraphEmbedding,FloorPlan202,Shelf,42,"[11, 11]"
GraphEmbedding,FloorPlan202,ShowerCurtain,42,-1
GraphEmbedding,FloorPlan202,ShowerDoor,42,-1
GraphEmbedding,FloorPlan202,ShowerGlass,42,-1
GraphEmbedding,FloorPlan202,ShowerHead,42,-1
GraphEmbedding,FloorPlan202,SideTable,42,"[9, 9]"
GraphEmbedding,FloorPlan202,Sink,42,-1
GraphEmbedding,FloorPlan202,SinkBasin,42,-1
GraphEmbedding,FloorPlan202,SoapBar,42,-1
GraphEmbedding,FloorPlan202,SoapBottle,42,-1
GraphEmbedding,FloorPlan202,Sofa,42,"[8, 8]"
GraphEmbedding,FloorPlan202,Spatula,42,-1
GraphEmbedding,FloorPlan202,Spoon,42,-1
GraphEmbedding,FloorPlan202,SprayBottle,42,-1
GraphEmbedding,FloorPlan202,Statue,42,"[9, 28]"
GraphEmbedding,FloorPlan202,Stool,42,-1
GraphEmbedding,FloorPlan202,StoveBurner,42,-1
GraphEmbedding,FloorPlan202,StoveKnob,42,-1
GraphEmbedding,FloorPlan202,TableTopDecor,42,-1
GraphEmbedding,FloorPlan202,TeddyBear,42,-1
GraphEmbedding,FloorPlan202,Television,42,"[11, 11]"
GraphEmbedding,FloorPlan202,TennisRacket,42,-1
GraphEmbedding,FloorPlan202,TissueBox,42,-1
GraphEmbedding,FloorPlan202,Toaster,42,-1
GraphEmbedding,FloorPlan202,Toilet,42,-1
GraphEmbedding,FloorPlan202,ToiletPaper,42,-1
GraphEmbedding,FloorPlan202,ToiletPaperHanger,42,-1
GraphEmbedding,FloorPlan202,Tomato,42,-1
GraphEmbedding,FloorPlan202,Towel,42,-1
GraphEmbedding,FloorPlan202,TowelHolder,42,-1
GraphEmbedding,FloorPlan202,TVStand,42,"[10, 10]"
GraphEmbedding,FloorPlan202,Vase,42,-1
GraphEmbedding,FloorPlan202,Watch,42,"[11, 21]"
GraphEmbedding,FloorPlan202,WateringCan,42,-1
GraphEmbedding,FloorPlan202,Window,42,"[11, 72]"
GraphEmbedding,FloorPlan202,WineBottle,42,-1
GraphEmbedding,FloorPlan203,AlarmClock,42,-1
GraphEmbedding,FloorPlan203,Apple,42,-1
GraphEmbedding,FloorPlan203,ArmChair,42,"[14, 14]"
GraphEmbedding,FloorPlan203,BaseballBat,42,-1
GraphEmbedding,FloorPlan203,BasketBall,42,-1
GraphEmbedding,FloorPlan203,Bathtub,42,-1
GraphEmbedding,FloorPlan203,BathtubBasin,42,-1
GraphEmbedding,FloorPlan203,Bed,42,-1
GraphEmbedding,FloorPlan203,Blinds,42,-1
GraphEmbedding,FloorPlan203,Book,42,"[26, 140]"
GraphEmbedding,FloorPlan203,Boots,42,"[15, 37]"
GraphEmbedding,FloorPlan203,Bowl,42,"[1, 2]"
GraphEmbedding,FloorPlan203,Box,42,-3
GraphEmbedding,FloorPlan203,Bread,42,-1
GraphEmbedding,FloorPlan203,ButterKnife,42,-1
GraphEmbedding,FloorPlan203,Cabinet,42,-1
GraphEmbedding,FloorPlan203,Candle,42,-1
GraphEmbedding,FloorPlan203,Cart,42,-1
GraphEmbedding,FloorPlan203,CD,42,-1
GraphEmbedding,FloorPlan203,CellPhone,42,"[10, 14]"
GraphEmbedding,FloorPlan203,Chair,42,"[1, 3]"
GraphEmbedding,FloorPlan203,Cloth,42,-1
GraphEmbedding,FloorPlan203,CoffeeMachine,42,-1
GraphEmbedding,FloorPlan203,CoffeeTable,42,"[29, 32]"
GraphEmbedding,FloorPlan203,CounterTop,42,-1
GraphEmbedding,FloorPlan203,CreditCard,42,"[13, 50]"
GraphEmbedding,FloorPlan203,Cup,42,-1
GraphEmbedding,FloorPlan203,Curtains,42,-1
GraphEmbedding,FloorPlan203,Desk,42,-1
GraphEmbedding,FloorPlan203,DeskLamp,42,-1
GraphEmbedding,FloorPlan203,DiningTable,42,"[14, 14]"
GraphEmbedding,FloorPlan203,DishSponge,42,-1
GraphEmbedding,FloorPlan203,Drawer,42,"[8, 9]"
GraphEmbedding,FloorPlan203,Dresser,42,-1
GraphEmbedding,FloorPlan203,Egg,42,-1
GraphEmbedding,FloorPlan203,Faucet,42,-1
GraphEmbedding,FloorPlan203,FloorLamp,42,"[26, 44]"
GraphEmbedding,FloorPlan203,Footstool,42,-1
GraphEmbedding,FloorPlan203,Fork,42,-1
GraphEmbedding,FloorPlan203,Fridge,42,-1
GraphEmbedding,FloorPlan203,GarbageCan,42,"[30, 120]"
GraphEmbedding,FloorPlan203,HandTowel,42,-1
GraphEmbedding,FloorPlan203,HandTowelHolder,42,-1
GraphEmbedding,FloorPlan203,HousePlant,42,"[18, 43]"
GraphEmbedding,FloorPlan203,Kettle,42,-1
GraphEmbedding,FloorPlan203,KeyChain,42,-3
GraphEmbedding,FloorPlan203,Knife,42,-1
GraphEmbedding,FloorPlan203,Ladle,42,-1
GraphEmbedding,FloorPlan203,Lamp,42,-1
GraphEmbedding,FloorPlan203,Laptop,42,"[13, 14]"
GraphEmbedding,FloorPlan203,LaundryHamper,42,-1
GraphEmbedding,FloorPlan203,Lettuce,42,-1
GraphEmbedding,FloorPlan203,LightSwitch,42,-3
GraphEmbedding,FloorPlan203,Microwave,42,-1
GraphEmbedding,FloorPlan203,Mirror,42,-1
GraphEmbedding,FloorPlan203,Mug,42,-1
GraphEmbedding,FloorPlan203,Newspaper,42,"[23, 33]"
GraphEmbedding,FloorPlan203,Ottoman,42,"[7, 7]"
GraphEmbedding,FloorPlan203,Painting,42,"[16, 18]"
GraphEmbedding,FloorPlan203,Pan,42,-1
GraphEmbedding,FloorPlan203,PaperTowel,42,-1
GraphEmbedding,FloorPlan203,Pen,42,-1
GraphEmbedding,FloorPlan203,Pencil,42,"[29, 33]"
GraphEmbedding,FloorPlan203,PepperShaker,42,-1
GraphEmbedding,FloorPlan203,Pillow,42,"[30, 31]"
GraphEmbedding,FloorPlan203,Plate,42,-3
GraphEmbedding,FloorPlan203,Plunger,42,-1
GraphEmbedding,FloorPlan203,Poster,42,-1
GraphEmbedding,FloorPlan203,Pot,42,-1
GraphEmbedding,FloorPlan203,Potato,42,-1
GraphEmbedding,FloorPlan203,RemoteControl,42,"[6, 7]"
GraphEmbedding,FloorPlan203,RoomDecor,42,-1
GraphEmbedding,FloorPlan203,Safe,42,-1
GraphEmbedding,FloorPlan203,SaltShaker,42,-1
GraphEmbedding,FloorPlan203,ScrubBrush,42,-1
GraphEmbedding,FloorPlan203,Shelf,42,-1
GraphEmbedding,FloorPlan203,ShowerCurtain,42,-1
GraphEmbedding,FloorPlan203,ShowerDoor,42,-1
GraphEmbedding,FloorPlan203,ShowerGlass,42,-1
GraphEmbedding,FloorPlan203,ShowerHead,42,-1
GraphEmbedding,FloorPlan203,SideTable,42,"[18, 17]"
GraphEmbedding,FloorPlan203,Sink,42,-1
GraphEmbedding,FloorPlan203,SinkBasin,42,-1
GraphEmbedding,FloorPlan203,SoapBar,42,-1
GraphEmbedding,FloorPlan203,SoapBottle,42,-1
GraphEmbedding,FloorPlan203,Sofa,42,"[1, 1]"
GraphEmbedding,FloorPlan203,Spatula,42,-1
GraphEmbedding,FloorPlan203,Spoon,42,-1
GraphEmbedding,FloorPlan203,SprayBottle,42,-1
GraphEmbedding,FloorPlan203,Statue,42,-1
GraphEmbedding,FloorPlan203,Stool,42,-1
GraphEmbedding,FloorPlan203,StoveBurner,42,-1
GraphEmbedding,FloorPlan203,StoveKnob,42,-1
GraphEmbedding,FloorPlan203,TableTopDecor,42,-1
GraphEmbedding,FloorPlan203,TeddyBear,42,-1
GraphEmbedding,FloorPlan203,Television,42,"[23, 57]"
GraphEmbedding,FloorPlan203,TennisRacket,42,-1
GraphEmbedding,FloorPlan203,TissueBox,42,"[10, 60]"
GraphEmbedding,FloorPlan203,Toaster,42,-1
GraphEmbedding,FloorPlan203,Toilet,42,-1
GraphEmbedding,FloorPlan203,ToiletPaper,42,-1
GraphEmbedding,FloorPlan203,ToiletPaperHanger,42,-1
GraphEmbedding,FloorPlan203,Tomato,42,-1
GraphEmbedding,FloorPlan203,Towel,42,-1
GraphEmbedding,FloorPlan203,TowelHolder,42,-1
GraphEmbedding,FloorPlan203,TVStand,42,-1
GraphEmbedding,FloorPlan203,Vase,42,-3
GraphEmbedding,FloorPlan203,Watch,42,"[6, 9]"
GraphEmbedding,FloorPlan203,WateringCan,42,"[3, 7]"
GraphEmbedding,FloorPlan203,Window,42,"[18, 23]"
GraphEmbedding,FloorPlan203,WineBottle,42,-1
GraphEmbedding,FloorPlan204,AlarmClock,42,-1
GraphEmbedding,FloorPlan204,Apple,42,-1
GraphEmbedding,FloorPlan204,ArmChair,42,"[8, 8]"
GraphEmbedding,FloorPlan204,BaseballBat,42,-1
GraphEmbedding,FloorPlan204,BasketBall,42,-1
GraphEmbedding,FloorPlan204,Bathtub,42,-1
GraphEmbedding,FloorPlan204,BathtubBasin,42,-1
GraphEmbedding,FloorPlan204,Bed,42,-1
GraphEmbedding,FloorPlan204,Blinds,42,-1
GraphEmbedding,FloorPlan204,Book,42,-1
GraphEmbedding,FloorPlan204,Boots,42,-1
GraphEmbedding,FloorPlan204,Bowl,42,-1
GraphEmbedding,FloorPlan204,Box,42,"[23, 26]"
GraphEmbedding,FloorPlan204,Bread,42,-1
GraphEmbedding,FloorPlan204,ButterKnife,42,-1
GraphEmbedding,FloorPlan204,Cabinet,42,-1
GraphEmbedding,FloorPlan204,Candle,42,-1
GraphEmbedding,FloorPlan204,Cart,42,-1
GraphEmbedding,FloorPlan204,CD,42,-1
GraphEmbedding,FloorPlan204,CellPhone,42,"[11, 13]"
GraphEmbedding,FloorPlan204,Chair,42,"[6, 12]"
GraphEmbedding,FloorPlan204,Cloth,42,-1
GraphEmbedding,FloorPlan204,CoffeeMachine,42,-1
GraphEmbedding,FloorPlan204,CoffeeTable,42,"[10, 10]"
GraphEmbedding,FloorPlan204,CounterTop,42,-1
GraphEmbedding,FloorPlan204,CreditCard,42,"[2, 6]"
GraphEmbedding,FloorPlan204,Cup,42,-1
GraphEmbedding,FloorPlan204,Curtains,42,-1
GraphEmbedding,FloorPlan204,Desk,42,"[7, 7]"
GraphEmbedding,FloorPlan204,DeskLamp,42,"[19, 57]"
GraphEmbedding,FloorPlan204,DiningTable,42,-3
GraphEmbedding,FloorPlan204,DishSponge,42,-1
GraphEmbedding,FloorPlan204,Drawer,42,"[15, 17]"
GraphEmbedding,FloorPlan204,Dresser,42,-1
GraphEmbedding,FloorPlan204,Egg,42,-1
GraphEmbedding,FloorPlan204,Faucet,42,-1
GraphEmbedding,FloorPlan204,FloorLamp,42,"[12, 12]"
GraphEmbedding,FloorPlan204,Footstool,42,-1
GraphEmbedding,FloorPlan204,Fork,42,-1
GraphEmbedding,FloorPlan204,Fridge,42,-1
GraphEmbedding,FloorPlan204,GarbageCan,42,"[8, 10]"
GraphEmbedding,FloorPlan204,HandTowel,42,-1
GraphEmbedding,FloorPlan204,HandTowelHolder,42,-1
GraphEmbedding,FloorPlan204,HousePlant,42,"[15, 51]"
GraphEmbedding,FloorPlan204,Kettle,42,-1
GraphEmbedding,FloorPlan204,KeyChain,42,"[15, 25]"
GraphEmbedding,FloorPlan204,Knife,42,-1
GraphEmbedding,FloorPlan204,Ladle,42,-1
GraphEmbedding,FloorPlan204,Lamp,42,-1
GraphEmbedding,FloorPlan204,Laptop,42,"[15, 15]"
GraphEmbedding,FloorPlan204,LaundryHamper,42,-1
GraphEmbedding,FloorPlan204,Lettuce,42,-1
GraphEmbedding,FloorPlan204,LightSwitch,42,"[11, 15]"
GraphEmbedding,FloorPlan204,Microwave,42,-1
GraphEmbedding,FloorPlan204,Mirror,42,-1
GraphEmbedding,FloorPlan204,Mug,42,-1
GraphEmbedding,FloorPlan204,Newspaper,42,-1
GraphEmbedding,FloorPlan204,Ottoman,42,-1
GraphEmbedding,FloorPlan204,Painting,42,"[16, 16]"
GraphEmbedding,FloorPlan204,Pan,42,-1
GraphEmbedding,FloorPlan204,PaperTowel,42,-1
GraphEmbedding,FloorPlan204,Pen,42,-1
GraphEmbedding,FloorPlan204,Pencil,42,-1
GraphEmbedding,FloorPlan204,PepperShaker,42,-1
GraphEmbedding,FloorPlan204,Pillow,42,"[22, 24]"
GraphEmbedding,FloorPlan204,Plate,42,-1
GraphEmbedding,FloorPlan204,Plunger,42,-1
GraphEmbedding,FloorPlan204,Poster,42,-1
GraphEmbedding,FloorPlan204,Pot,42,-1
GraphEmbedding,FloorPlan204,Potato,42,-1
GraphEmbedding,FloorPlan204,RemoteControl,42,"[14, 17]"
GraphEmbedding,FloorPlan204,RoomDecor,42,-1
GraphEmbedding,FloorPlan204,Safe,42,"[17, 47]"
GraphEmbedding,FloorPlan204,SaltShaker,42,-1
GraphEmbedding,FloorPlan204,ScrubBrush,42,-1
GraphEmbedding,FloorPlan204,Shelf,42,"[8, 12]"
GraphEmbedding,FloorPlan204,ShowerCurtain,42,-1
GraphEmbedding,FloorPlan204,ShowerDoor,42,-1
GraphEmbedding,FloorPlan204,ShowerGlass,42,-1
GraphEmbedding,FloorPlan204,ShowerHead,42,-1
GraphEmbedding,FloorPlan204,SideTable,42,-1
GraphEmbedding,FloorPlan204,Sink,42,-1
GraphEmbedding,FloorPlan204,SinkBasin,42,-1
GraphEmbedding,FloorPlan204,SoapBar,42,-1
GraphEmbedding,FloorPlan204,SoapBottle,42,-1
GraphEmbedding,FloorPlan204,Sofa,42,"[14, 28]"
GraphEmbedding,FloorPlan204,Spatula,42,-1
GraphEmbedding,FloorPlan204,Spoon,42,-1
GraphEmbedding,FloorPlan204,SprayBottle,42,-1
GraphEmbedding,FloorPlan204,Statue,42,"[13, 17]"
GraphEmbedding,FloorPlan204,Stool,42,-1
GraphEmbedding,FloorPlan204,StoveBurner,42,-1
GraphEmbedding,FloorPlan204,StoveKnob,42,-1
GraphEmbedding,FloorPlan204,TableTopDecor,42,-1
GraphEmbedding,FloorPlan204,TeddyBear,42,-1
GraphEmbedding,FloorPlan204,Television,42,"[9, 9]"
GraphEmbedding,FloorPlan204,TennisRacket,42,-1
GraphEmbedding,FloorPlan204,TissueBox,42,-1
GraphEmbedding,FloorPlan204,Toaster,42,-1
GraphEmbedding,FloorPlan204,Toilet,42,-1
GraphEmbedding,FloorPlan204,ToiletPaper,42,-1
GraphEmbedding,FloorPlan204,ToiletPaperHanger,42,-1
GraphEmbedding,FloorPlan204,Tomato,42,-1
GraphEmbedding,FloorPlan204,Towel,42,-1
GraphEmbedding,FloorPlan204,TowelHolder,42,-1
GraphEmbedding,FloorPlan204,TVStand,42,"[9, 9]"
GraphEmbedding,FloorPlan204,Vase,42,-3
GraphEmbedding,FloorPlan204,Watch,42,-1
GraphEmbedding,FloorPlan204,WateringCan,42,"[14, 16]"
GraphEmbedding,FloorPlan204,Window,42,"[9, 54]"
GraphEmbedding,FloorPlan204,WineBottle,42,-1
GraphEmbedding,FloorPlan205,AlarmClock,42,-1
GraphEmbedding,FloorPlan205,Apple,42,-1
GraphEmbedding,FloorPlan205,ArmChair,42,"[5, 10]"
GraphEmbedding,FloorPlan205,BaseballBat,42,-1
GraphEmbedding,FloorPlan205,BasketBall,42,-1
GraphEmbedding,FloorPlan205,Bathtub,42,-1
GraphEmbedding,FloorPlan205,BathtubBasin,42,-1
GraphEmbedding,FloorPlan205,Bed,42,-1
GraphEmbedding,FloorPlan205,Blinds,42,-1
GraphEmbedding,FloorPlan205,Book,42,-1
GraphEmbedding,FloorPlan205,Boots,42,-1
GraphEmbedding,FloorPlan205,Bowl,42,-1
GraphEmbedding,FloorPlan205,Box,42,"[28, 34]"
GraphEmbedding,FloorPlan205,Bread,42,-1
GraphEmbedding,FloorPlan205,ButterKnife,42,-1
GraphEmbedding,FloorPlan205,Cabinet,42,-1
GraphEmbedding,FloorPlan205,Candle,42,-1
GraphEmbedding,FloorPlan205,Cart,42,-1
GraphEmbedding,FloorPlan205,CD,42,-1
GraphEmbedding,FloorPlan205,CellPhone,42,-1
GraphEmbedding,FloorPlan205,Chair,42,"[12, 12]"
GraphEmbedding,FloorPlan205,Cloth,42,-1
GraphEmbedding,FloorPlan205,CoffeeMachine,42,-1
GraphEmbedding,FloorPlan205,CoffeeTable,42,-1
GraphEmbedding,FloorPlan205,CounterTop,42,-1
GraphEmbedding,FloorPlan205,CreditCard,42,"[11, 12]"
GraphEmbedding,FloorPlan205,Cup,42,-1
GraphEmbedding,FloorPlan205,Curtains,42,"[17, 17]"
GraphEmbedding,FloorPlan205,Desk,42,-1
GraphEmbedding,FloorPlan205,DeskLamp,42,"[8, 18]"
GraphEmbedding,FloorPlan205,DiningTable,42,"[14, 22]"
GraphEmbedding,FloorPlan205,DishSponge,42,-1
GraphEmbedding,FloorPlan205,Drawer,42,"[12, 42]"
GraphEmbedding,FloorPlan205,Dresser,42,"[11, 11]"
GraphEmbedding,FloorPlan205,Egg,42,-1
GraphEmbedding,FloorPlan205,Faucet,42,-1
